cell	phone	11.102655
consumer	energy	11.416168
confidence	consumer	12.327234
block	street	11.143144
man	woman	11.618676
radio	television	11.73394
five	month	13.355357
basketball	football	13.777988
drink	eat	14.24601
car	train	13.733017
brazil	mexico	14.636683
king	queen	14.035703
manslaughter	murder	15.204491
center	school	13.291474
group	precedent	18.643602
media	radio	11.547789
energy	secretary	13.324451
benchmark	index	13.999746
cash	money	13.093744
series	seven	14.100868
profit	warning	13.112821
life	term	11.98649
avenue	street	11.143144
start	year	11.473887
currency	money	13.093744
dividend	payment	15.225101
planet	star	15.389846
aluminum	metal	15.616122
football	tennis	13.777988
loss	profit	13.112821
death	life	11.98649
dollar	yen	12.552879
board	recommendation	15.700186
activity	travel	17.134589
computer	news	12.207051
insurance	peace	10.633974
lobster	wine	17.096115
psychiatry	psychology	16.643602
car	plane	13.733017
professor	student	15.229259
news	wednesday	12.207051
chemistry	physics	15.589155
life	stock	11.274292
medal	president	15.449224
marathon	sprint	18.096115
match	start	11.535882
peace	plan	13.527059
governor	interview	15.774187
american	japanese	14.664562
coast	shore	16.75908
gain	report	16.096115
focus	life	11.98649
culture	ministry	14.884611
place	street	11.143144
planet	sun	15.389846
century	year	11.031223
opera	performance	16.299648
dollar	money	9.872436
delay	news	12.207051
announcement	news	12.030502
children	street	11.143144
glass	metal	15.616122
food	lobster	11.956563
liquid	water	15.086654
psychology	science	16.643602
tiger	tiger	12.972309
century	nation	15.602575
kind	type	16.884611
harvard	yale	15.040261
mars	water	15.086654
money	operation	13.093744
doctor	nurse	15.536687
association	journal	13.836248
eye	skin	16.82048
airport	problem	16.729332
car	drink	9.80491
attempt	peace	13.527059
lobster	seafood	15.645453
championship	tournament	15.355357
development	issue	15.225101
animal	tiger	14.836248
effort	investigation	16.852189
bread	butter	15.511152
food	seafood	14.547379
food	fruit	15.204491
bird	crane	20.75908
automobile	car	13.733017
equipment	phone	11.102655
moon	planet	15.389846
kilometer	mile	16.98649
atmosphere	peace	13.389555
hike	production	17.82048
drink	mother	14.24601
football	soccer	13.777988
jazz	rock	16.235518
gain	media	12.170115
insurance	line	16.643602
cup	food	14.973165
governor	man	10.093214
development	population	15.225101
museum	theater	16.299648
experience	music	14.82048
history	theater	16.299648
music	project	14.82048
car	jaguar	13.733017
cat	tiger	14.836248
smart	student	14.562682
hotel	month	13.355357
gin	vodka	17.589155
doctor	personnel	15.536687
doctor	professor	12.559407
phone	stock	9.083796
media	trading	13.774187
image	surface	19.536687
coast	forest	15.621576
isolation	situation	18.643602
forest	wood	16.299648
announcement	effort	13.362223
hospital	infrastructure	19.536687
lad	wizard	19.75908
car	flight	13.733017
smart	stupid	18.022114
live	stock	16.077256
brandy	vodka	17.589155
cup	substance	17.589155
holy	sex	21.344042
architecture	century	15.602575
prejudice	recognition	21.344042
buck	dollar	12.552879
article	cup	17.589155
recess	sign	21.344042
cucumber	potato	20.344042
combination	direction	22.344042
coast	hill	16.75908
chance	credibility	19.344042
approach	sugar	20.344042
drink	ear	14.24601
announcement	production	12.564979
mammal	tiger	14.836248
gem	jewel	20.344042
cemetery	woodland	21.344042
discipline	psychology	16.643602
bishop	rabbi	21.344042
conclusion	situation	18.643602
example	precedent	18.643602
atmosphere	landscape	16.884611
boy	lad	19.75908
chemistry	space	15.589155
brother	lad	19.75908
minority	peace	13.527059
journey	voyage	20.344042
information	precedent	18.643602
midday	noon	21.344042
