man	woman	18.554233
brazil	mexico	22.019235
media	radio	20.385723
news	wednesday	19.856637
eye	skin	23.16201
drink	eat	21.157521
death	life	19.320965
medal	president	23.647437
profit	warning	21.270788
start	year	18.788731
currency	money	20.810509
five	month	21.21018
dollar	yen	21.238342
radio	television	20.930851
avenue	street	19.656543
life	term	19.320965
cell	phone	20.516329
equipment	phone	20.516329
liquid	water	21.713307
mars	water	21.713307
focus	life	19.320965
energy	secretary	21.821665
manslaughter	murder	22.123117
harvard	yale	24.358811
association	journal	22.258535
architecture	century	22.471714
announcement	news	19.601615
football	soccer	21.370351
planet	star	21.861542
experience	music	22.709764
confidence	consumer	21.180455
block	street	19.656543
opera	performance	24.114392
king	queen	21.382386
insurance	line	25.064412
bread	butter	22.606391
children	street	19.656543
car	train	21.37115
series	seven	22.199139
place	street	19.656543
loss	profit	21.270788
board	recommendation	24.505539
institution	practice	27.633944
culture	ministry	23.009868
effort	investigation	23.076094
doctor	nurse	22.883612
professor	student	22.750331
car	plane	21.37115
governor	man	17.537443
basketball	football	21.370351
chance	credibility	27.97908
glass	metal	23.157998
hotel	month	21.21018
center	school	21.652772
benchmark	index	22.431143
cash	money	20.810509
match	start	18.873879
dollar	money	17.59841
activity	travel	25.551909
tiger	tiger	21.486688
jazz	rock	24.225637
car	flight	21.37115
cup	food	22.110035
moon	planet	21.861542
planet	sun	21.861542
attempt	peace	21.895637
american	japanese	22.944169
car	drink	18.466842
marriage	morality	27.830981
announcement	effort	19.308366
hike	production	25.413746
computer	news	19.856637
gin	vodka	24.248954
football	tennis	21.370351
psychology	science	23.966946
development	issue	23.635864
peace	plan	21.895637
food	fruit	22.606391
consumer	energy	18.782253
automobile	car	21.37115
live	stock	23.924091
industry	opera	24.114392
championship	tournament	22.451286
car	jaguar	21.289938
minority	peace	21.895637
kind	type	24.410456
smart	stupid	25.400631
media	trading	22.11105
century	year	18.347984
lobster	seafood	23.397722
girl	possibility	28.664971
psychiatry	psychology	23.966946
century	nation	22.471714
chemistry	physics	23.735263
life	stock	18.261093
drink	mother	21.157521
money	operation	20.810509
food	seafood	22.103034
coast	shore	23.848028
egg	stock	23.924091
atmosphere	peace	21.700191
governor	interview	23.947742
gain	report	23.760173
delay	news	19.856637
marathon	sprint	25.287666
music	project	22.709764
isolation	situation	26.246019
image	surface	24.835386
announcement	production	21.933715
doctor	professor	20.337241
brother	lad	27.516108
cat	tiger	22.777255
article	cup	24.653258
coast	hill	23.868861
kilometer	mile	25.324347
information	precedent	25.657152
hospital	infrastructure	26.884753
coast	forest	22.891081
aluminum	metal	23.164779
bird	crane	28.330552
museum	theater	24.926438
development	population	23.635864
jaguar	tiger	17.499973
example	precedent	25.657152
forest	wood	24.37155
holy	sex	27.122444
lobster	wine	25.149614
dividend	payment	25.387633
cemetery	woodland	27.903131
cucumber	potato	28.05925
airport	problem	25.988861
approach	sugar	27.460613
gain	media	21.592583
boy	lad	27.516108
history	theater	24.926438
chemistry	space	23.735263
animal	tiger	22.932325
fuck	sex	27.122444
food	lobster	21.46229
conclusion	situation	26.246019
atmosphere	landscape	25.400631
smart	student	21.571809
forest	graveyard	24.37155
journey	voyage	27.97908
cup	object	24.653258
brandy	vodka	24.248954
combination	direction	28.664971
shower	thunderstorm	27.573823
phone	stock	17.274254
insurance	peace	18.815909
glass	magician	22.604134
group	precedent	25.657152
cup	substance	24.653258
feline	tiger	22.932325
cup	tableware	24.653258
doctor	personnel	22.883612
food	rooster	22.606391
king	rook	21.382386
bird	cock	28.330552
discipline	psychology	23.966946
hypertension	reason	30.866605
collection	precedent	25.657152
mammal	tiger	22.932325
similarity	word	29.488094
serial	viewer	31.603571
midday	noon	29.281643
furnace	stove	31.603571
artifact	cup	24.653258
cat	jaguar	21.089592
importance	morality	27.830981
fauna	tiger	22.932325
cd	stock	23.924091
listing	proximity	31.603571
shore	woodland	22.100938
bishop	rabbi	30.018608
cabbage	king	21.382386
drink	ear	21.157521
gem	jewel	31.603571
magician	wizard	30.018608
recess	sign	30.866605
